Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2016-09-15,8742.5498046875,145400
2016-09-16,8779.849609375,265800
2016-09-19,8808.400390625,131700
2016-09-20,8775.900390625,136500
2016-09-21,8777.150390625,148800
2016-09-22,8867.4501953125,172800
2016-09-23,8831.5498046875,185900
2016-09-26,8723.0498046875,164000
2016-09-27,8706.400390625,151400
2016-09-28,8745.150390625,165500
2016-09-29,8591.25,372900
2016-09-30,8611.150390625,181700
2016-10-03,8738.099609375,137300
2016-10-04,8769.150390625,184300
2016-10-05,8743.9501953125,157200
2016-10-06,8709.5498046875,163600
2016-10-07,8697.599609375,150400
2016-10-10,8708.7998046875,108400
2016-10-13,8573.349609375,212300
2016-10-14,8583.400390625,162800
2016-10-17,8520.400390625,197400
2016-10-18,8677.900390625,216600
2016-10-19,8659.099609375,172100
2016-10-20,8699.400390625,161000
2016-10-21,8693.0498046875,157300
2016-10-24,8708.9501953125,157100
2016-10-25,8691.2998046875,189800
2016-10-26,8615.25,219300
2016-10-27,8615.25,242800
2016-10-28,8638.0,175500
2016-11-01,8626.25,165000
2016-11-02,8514.0,155300
2016-11-03,8484.9501953125,170500
2016-11-04,8433.75,224800
2016-11-07,8497.0498046875,172800
2016-11-08,8543.5498046875,195700
2016-11-09,8432.0,314300
2016-11-10,8525.75,263100
2016-11-11,8296.2998046875,266900
2016-11-15,8108.4501953125,359200
2016-11-16,8111.60009765625,269500
2016-11-17,8079.9501953125,191300
2016-11-18,8074.10009765625,161200
2016-11-21,7929.10009765625,218800
2016-11-22,8002.2998046875,210200
2016-11-23,8033.2998046875,181000
2016-11-24,7965.5,260500
2016-11-25,8114.2998046875,177900
2016-11-28,8126.89990234375,189700
2016-11-29,8142.14990234375,189700
2016-11-30,8224.5,248000
2016-12-01,8192.900390625,157700
2016-12-02,8086.7998046875,171500
2016-12-05,8128.75,126500
2016-12-06,8143.14990234375,115300
2016-12-07,8102.0498046875,169800
2016-12-08,8246.849609375,142500
2016-12-09,8261.75,149700
2016-12-12,8170.7998046875,108100
2016-12-13,8221.7998046875,184000
2016-12-14,8182.4501953125,144600
2016-12-15,8153.60009765625,181800
2016-12-16,8139.4501953125,203000
2016-12-19,8104.35009765625,107400
2016-12-20,8082.39990234375,128000
2016-12-21,8061.2998046875,123700
2016-12-22,7979.10009765625,122600
2016-12-23,7985.75,124100
2016-12-26,7908.25,106900
2016-12-27,8032.85009765625,118800
2016-12-28,8034.85009765625,126700
2016-12-29,8103.60009765625,178500
2016-12-30,8185.7998046875,127600
2017-01-02,8179.5,118300
2017-01-03,8192.25,127300
2017-01-04,8190.5,132400
2017-01-05,8273.7998046875,159100
2017-01-06,8243.7998046875,139400
2017-01-09,8236.0498046875,99100
2017-01-10,8288.599609375,142900
2017-01-11,8380.650390625,186500
2017-01-12,8407.2001953125,172600
2017-01-13,8400.349609375,185300
2017-01-16,8412.7998046875,124100
2017-01-17,8398.0,122000
2017-01-18,8417.0,163800
2017-01-19,8435.099609375,165900
2017-01-20,8349.349609375,202600
2017-01-23,8391.5,195000
2017-01-24,8475.7998046875,179200
2017-01-25,8602.75,292500
2017-01-27,8641.25,275400
2017-01-30,8632.75,304700
2017-01-31,8561.2998046875,521000
2017-02-01,8716.400390625,327700
2017-02-02,8734.25,283500
2017-02-03,8740.9501953125,191000
2017-02-06,8801.0498046875,194400
2017-02-07,8768.2998046875,226300
2017-02-08,8769.0498046875,218700
2017-02-09,8778.400390625,187500
2017-02-10,8793.5498046875,225900
2017-02-13,8805.0498046875,204900
2017-02-14,8792.2998046875,188300
